NroCOntrol	PlantaTipo	LugarPago	Escuela	Juris	Prog	SubP	Actividad	fuente	dias_trabajados	haberSinAporte	haberConAporte	total_haberes	total_descuentos	total_liquido	C01	I01	C02	I02	C03	I03	C04	I04	C05	I05	C06	I06	C07	I07	C08	I08	mes	anio
59149312	D	59122	80443	55	15	07	01	R	030	000176620	002065065	002241685	000371711	001869974	521	002065065	522	000176620	602	000268458	615	000103253	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59151801	D	59106	80443	55	15	07	01	R	030	000167368	001929604	002096972	000347329	001749643	521	001929604	522	000167368	602	000250849	615	000096480	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59152043	D	59106	80451	55	15	01	01	R	030	000176620	002065065	002241685	000371711	001869974	521	002065065	522	000176620	602	000268458	615	000103253	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59061195	D	59106	80435	55	15	07	01	R	030	000379318	002149019	002528337	000386823	002141514	521	002149019	522	000379318	602	000279372	615	000107451	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59074025	D	59106	80451	55	15	07	01	R	030	000183368	002163853	002347221	000389494	001957727	521	002163853	522	000183368	602	000281301	615	000108193	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59076653	D	59114	80451	55	15	07	01	R	030	000176620	002065065	002241685	000371711	001869974	521	002065065	522	000176620	602	000268458	615	000103253	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59081381	D	59106	80443	55	15	07	01	R	030	000074840	001929604	002004444	000347329	001657115	521	001929604	522	000074840	602	000250849	615	000096480	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59089952	D	59106	80435	55	15	07	01	R	030	000167368	001929604	002096972	000347329	001749643	521	001929604	522	000167368	602	000250849	615	000096480	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59093561	D	59114	80443	55	15	07	01	R	030	000074840	001874971	001949811	000337495	001612316	521	001874971	522	000074840	602	000243746	615	000093749	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59098003	D	59106	80451	55	15	01	01	R	030	000167368	001929604	002096972	000347329	001749643	521	001929604	522	000167368	602	000250849	615	000096480	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59104752	D	59106	80435	55	15	01	01	R	030	000581044	002215272	002796316	000398749	002397567	521	002215272	522	000581044	602	000287985	615	000110764	616	000000000	663	000000000	664	000000000	665	000000000	11	22
